,the scores,sucess rate,one digit scores,two digits scores,three digits scores,four and more digits scores
3146,4,0.8323656314920365,86.52685096917699,13.44137273593899,0.03177629488401652,0.0
3147,36,0.83264221158958,86.49936467598475,13.468869123252858,0.03176620076238882,0.0
3148,15,0.832731329013067,86.47189583994918,13.496348046999046,0.031756113051762465,0.0
3149,39,0.833032969362875,86.44444444444444,13.523809523809524,0.031746031746031744,0.0
3150,7,0.8330507576560348,86.44874642970485,13.519517613456046,0.031735956839098696,0.0
3151,20,0.8331833818470494,86.42131979695431,13.546954314720812,0.031725888324873094,0.0
3152,24,0.8333509513742072,86.39391056137012,13.574373612432602,0.03171582619727244,0.0
3153,7,0.8333685545224007,86.3982244768548,13.570069752694991,0.03170577045022194,0.0
3154,6,0.8333773435437022,86.4025356576862,13.565768621236133,0.03169572107765452,0.0
3155,11,0.8334300944740592,86.37515842839036,13.593155893536121,0.03168567807351077,0.0
3156,15,0.8335179032853451,86.3477985429205,13.620525815647767,0.031675641431738996,0.0
3157,42,0.8338419446490581,86.3204559848005,13.647878404053198,0.031665611146295125,0.0
3158,8,0.8338679989481987,86.32478632478633,13.643558088002534,0.03165558721114277,0.0
3159,53,0.8342860139493419,86.29746835443038,13.670886075949367,0.03164556962025317,0.0
3160,1,0.8342509569503435,86.30180322682696,13.666561214805443,0.03163555836760519,0.0
3161,61,0.8347357967908848,86.27450980392157,13.693864642631246,0.031625553447185324,0.0
3162,22,0.8348820212988097,86.24723363895036,13.72115080619665,0.03161555485298767,0.0
3163,3,0.8348643006263048,86.25158027812894,13.716814159292035,0.03160556257901391,0.0
3164,36,0.835130489138928,86.22432859399683,13.744075829383887,0.0315955766192733,0.0
3165,35,0.8353870950969687,86.19709412507896,13.771320277953253,0.03158559696778269,0.0
3166,39,0.8356768536294298,86.16987685506788,13.798547521313544,0.031575623618566466,0.0
3167,19,0.835795366194993,86.14267676767676,13.825757575757574,0.03156565656565657,0.0
3168,15,0.8358796416178984,86.11549384663932,13.85295045755759,0.03155569580309246,0.0
3169,12,0.8359383086636994,86.08832807570977,13.880126182965299,0.03154574132492114,0.0
3170,11,0.835988414192614,86.06117943866288,13.90728476821192,0.031535793125197095,0.0
3171,21,0.8361231659433768,86.03404791929383,13.934426229508196,0.031525851197982346,0.0
3172,8,0.8361476891298735,86.03844941695556,13.93003466750709,0.03151591553734636,0.0
3173,13,0.8362144589504102,86.01134215500946,13.957151858853182,0.0315059861373661,0.0
3174,1,0.8361797636860843,86.01574803149606,13.95275590551181,0.031496062992125984,0.0
3175,12,0.8362380117562133,85.98866498740554,13.97984886649874,0.031486146095717885,0.0
3176,2,0.836211785327628,85.99307522820271,13.975448536355051,0.03147623544224111,0.0
3177,35,0.8364637472340863,85.96601636249214,14.002517306482066,0.031466331025802395,0.0
3178,22,0.8366056743421053,85.9389745202894,14.029569046870085,0.031456432840515886,0.0
3179,5,0.8366046655020039,85.94339622641509,14.025157232704402,0.031446540880503145,0.0
3180,62,0.8370806658130602,85.91637849732788,14.052184847532223,0.03143665513989311,0.0
3181,12,0.8371378851468932,85.88937774984286,14.079195474544312,0.03142677561282212,0.0
3182,31,0.8373530914665304,85.86239396795476,14.106189129751806,0.031416902293433864,0.0
3183,52,0.8377414258777964,85.83542713567839,14.133165829145728,0.031407035175879394,0.0
3184,21,0.8378722321201324,85.80847723704866,14.160125588697017,0.03139717425431711,0.0
3185,11,0.8379203337233555,85.78154425612053,14.18706842435656,0.031387319522912745,0.0
3186,7,0.8379354182557844,85.78600564794478,14.182616881079385,0.031377470975839344,0.0
3187,13,0.8379998983688196,85.75909661229612,14.209535759096612,0.031367628607277286,0.0
3188,22,0.8381382600751193,85.73220445280653,14.236437754782063,0.03135779241141424,0.0
3189,55,0.8385464115801194,85.70532915360502,14.263322884012538,0.031347962382445145,0.0
3190,25,0.8387080469065912,85.6784706988405,14.290191162644938,0.031338138514572234,0.0
3191,28,0.8388936556806137,85.6516290726817,14.317042606516292,0.03132832080200501,0.0
3192,67,0.8393943966601277,85.62480425931726,14.343877231443782,0.03131850923896023,0.0
3193,22,0.8395297427652733,85.59799624295555,14.370695053224797,0.031308703819661866,0.0
3194,188,0.8409893992932862,85.57120500782473,14.366197183098592,0.06259780907668232,0.0
3195,21,0.8411135968182948,85.5444305381727,14.392991239048811,0.0625782227784731,0.0
3196,18,0.8412138670904937,85.51767281826712,14.419768532999688,0.06255864873318737,0.0
3197,49,0.8415576694411415,85.49093183239525,14.446529080675422,0.06253908692933083,0.0
3198,28,0.8417355167466481,85.46420756486403,14.473272897780557,0.06251953735542357,0.0
3199,54,0.8421156502861654,85.4375,14.499999999999998,0.0625,0.0
3200,3,0.8420974743488555,85.44204935957514,14.495470165573257,0.06248047485160887,0.0
3201,1,0.8420637269409096,85.44659587757651,14.490943160524672,0.06246096189881324,0.0
3202,31,0.8422633704323845,85.41991882610053,14.51763971276928,0.06244146113019045,0.0
3203,39,0.8425243291064582,85.39325842696628,14.544319600499374,0.062421972534332085,0.0
3204,5,0.8425216194968553,85.3978159126365,14.539781591263651,0.062402496099843996,0.0
