,the scores,sucess rate,one digit scores,two digits scores,three digits scores,four and more digits scores,Moving average
258,0,0.133779264,100,0,0,0,0.48
259,1,0.136212625,100,0,0,0,0.51
260,1,0.138613861,100,0,0,0,0.53
261,0,0.138157895,100,0,0,0,0.54
262,0,0.137704918,100,0,0,0,0.54
263,0,0.137254902,100,0,0,0,0.55
264,2,0.142394822,100,0,0,0,0.56
265,0,0.141935484,100,0,0,0,0.54
266,0,0.1414791,100,0,0,0,0.54
267,0,0.141025641,100,0,0,0,0.53
268,0,0.14057508,100,0,0,0,0.53
269,1,0.142857143,100,0,0,0,0.53
270,0,0.142405063,100,0,0,0,0.52
271,0,0.141955836,100,0,0,0,0.52
272,0,0.141509434,100,0,0,0,0.53
273,0,0.141065831,100,0,0,0,0.58
274,1,0.143302181,100,0,0,0,0.59
275,0,0.142857143,100,0,0,0,0.63
276,0,0.142414861,100,0,0,0,0.68
277,0,0.141975309,100,0,0,0,0.68
278,1,0.144171779,100,0,0,0,0.72
279,0,0.143730887,100,0,0,0,0.72
280,0,0.143292683,100,0,0,0,0.73
281,0,0.142857143,100,0,0,0,0.77
282,0,0.142424242,100,0,0,0,0.78
283,0,0.141993958,100,0,0,0,0.8
284,0,0.141566265,100,0,0,0,0.8
285,0,0.141141141,100,0,0,0,0.82
286,0,0.140718563,100,0,0,0,0.81
287,2,0.145400593,100,0,0,0,0.83
288,1,0.147492625,100,0,0,0,0.84
289,2,0.152046784,100,0,0,0,0.86
290,0,0.151603499,100,0,0,0,0.88
291,2,0.156069364,100,0,0,0,0.87
292,0,0.155619597,100,0,0,0,0.87
293,2,0.16,100,0,0,0,0.87
294,1,0.161931818,100,0,0,0,0.87
295,2,0.166197183,100,0,0,0,0.87
296,0,0.165730337,100,0,0,0,0.87
297,0,0.165266106,100,0,0,0,0.86
298,0,0.164804469,100,0,0,0,0.87
299,2,0.168975069,100,0,0,0,0.87
300,1,0.170798898,100,0,0,0,0.88
301,0,0.17032967,100,0,0,0,0.9
302,2,0.174386921,100,0,0,0,0.93
303,0,0.173913043,100,0,0,0,0.93
304,0,0.173441734,100,0,0,0,1
305,0,0.172972973,100,0,0,0,0.98
306,1,0.174731183,100,0,0,0,0.98
307,1,0.176470588,100,0,0,0,0.98
308,1,0.178191489,100,0,0,0,0.99
309,3,0.184210526,100,0,0,0,0.98
310,2,0.187989556,100,0,0,0,0.99
311,2,0.191709845,100,0,0,0,1.01
312,0,0.19121447,100,0,0,0,1.04
313,1,0.192802057,100,0,0,0,1.06
314,1,0.194373402,100,0,0,0,1.04
315,0,0.193877551,100,0,0,0,1.08
316,0,0.193384224,100,0,0,0,1.11
317,0,0.192893401,100,0,0,0,1.11
318,1,0.194444444,100,0,0,0,1.12
319,0,0.19395466,100,0,0,0,1.11
320,0,0.193467337,100,0,0,0,1.13
321,0,0.192982456,100,0,0,0,1.13
322,2,0.196517413,100,0,0,0,1.17
323,5,0.205882353,100,0,0,0,1.21
324,2,0.209245742,100,0,0,0,1.22
325,4,0.216346154,100,0,0,0,1.23
326,5,0.225118483,100,0,0,0,1.23
327,0,0.224586288,100,0,0,0,1.24
328,4,0.231308411,100,0,0,0,1.24
329,0,0.230769231,100,0,0,0,1.27
330,1,0.232018561,100,0,0,0,1.27
331,5,0.2402746,100,0,0,0,1.31
332,2,0.243181818,100,0,0,0,1.31
333,2,0.246049661,100,0,0,0,1.34
334,0,0.245495495,100,0,0,0,1.34
335,3,0.25,100,0,0,0,1.34
336,0,0.249443207,100,0,0,0,1.47
337,2,0.252212389,100,0,0,0,1.45
338,2,0.254945055,100,0,0,0,1.46
339,2,0.257641921,100,0,0,0,1.45
340,3,0.261904762,100,0,0,0,1.49
341,0,0.261339093,100,0,0,0,1.49
342,0,0.260775862,100,0,0,0,1.55
343,0,0.260215054,100,0,0,0,1.54
344,0,0.259656652,100,0,0,0,1.53
345,0,0.259100642,100,0,0,0,1.51
346,1,0.260127932,100,0,0,0,1.53
347,0,0.259574468,100,0,0,0,1.53
348,2,0.262156448,100,0,0,0,1.59
349,0,0.261603376,100,0,0,0,1.61
350,1,0.262605042,100,0,0,0,1.6
351,2,0.265135699,100,0,0,0,1.64
352,4,0.270661157,100,0,0,0,1.63
353,0,0.270103093,100,0,0,0,1.63
354,7,0.279918864,100,0,0,0,1.66
355,0,0.279352227,100,0,0,0,1.66
356,0,0.278787879,100,0,0,0,1.68
357,0,0.278225806,100,0,0,0,1.67
358,1,0.279116466,100,0,0,0,1.66
359,0,0.278557114,100,0,0,0,1.66
360,2,0.280876494,100,0,0,0,1.64
361,2,0.283168317,100,0,0,0,1.62
362,3,0.286836935,100,0,0,0,1.67
363,2,0.2890625,100,0,0,0,1.72
364,0,0.288499025,100,0,0,0,1.76
365,4,0.293436293,100,0,0,0,1.76
366,3,0.296934866,100,0,0,0,1.79
367,0,0.296367113,100,0,0,0,1.79
368,1,0.297142857,100,0,0,0,1.78
369,0,0.296577947,100,0,0,0,1.79
370,2,0.298676749,100,0,0,0,1.89
371,0,0.298113208,100,0,0,0,1.89
372,4,0.302803738,100,0,0,0,1.9
373,4,0.307407407,100,0,0,0,1.87
374,2,0.309392265,100,0,0,0,1.85
375,1,0.310091743,100,0,0,0,1.81
376,0,0.30952381,100,0,0,0,1.76
377,1,0.310218978,100,0,0,0,1.84
378,1,0.310909091,100,0,0,0,1.84
379,3,0.314079422,100,0,0,0,1.84
380,0,0.313513514,100,0,0,0,1.87
381,4,0.317857143,100,0,0,0,1.86
382,0,0.317290553,100,0,0,0,1.84
383,3,0.320353982,100,0,0,0,1.82
384,0,0.319787986,100,0,0,0,1.87
385,0,0.319223986,100,0,0,0,1.88
386,13,0.333907057,99.74160207,0.258397933,0,0,1.89
387,0,0.333333333,99.74226804,0.257731959,0,0,1.96
388,2,0.335042735,99.74293059,0.257069409,0,0,1.94
389,1,0.33560477,99.74358974,0.256410256,0,0,1.92
390,4,0.339527027,99.74424552,0.255754476,0,0,1.92
391,2,0.341176471,99.74489796,0.255102041,0,0,1.92
392,6,0.34717608,99.74554707,0.254452926,0,0,1.92
393,1,0.347682119,99.74619289,0.253807107,0,0,1.94
394,0,0.347107438,99.74683544,0.253164557,0,0,1.95
395,0,0.346534653,99.74747475,0.252525253,0,0,1.95
396,2,0.348111658,99.74811083,0.251889169,0,0,1.98
397,0,0.347540984,99.74874372,0.251256281,0,0,2.06
398,6,0.353322528,99.74937343,0.250626566,0,0,2.05
399,4,0.356913183,99.75,0.25,0,0,2.07
400,0,0.356340289,99.75062344,0.249376559,0,0,2.06
401,4,0.359872611,99.75124378,0.248756219,0,0,2.18
402,1,0.36031746,99.75186104,0.248138958,0,0,2.18
403,0,0.359746434,99.75247525,0.247524752,0,0,2.18
404,3,0.362204724,99.75308642,0.24691358,0,0,2.11
405,0,0.36163522,99.75369458,0.246305419,0,0,2.11
406,3,0.3640625,99.75429975,0.245700246,0,0,2.11
407,0,0.36349454,99.75490196,0.245098039,0,0,2.15
408,0,0.362928349,99.75550122,0.244498778,0,0,2.14
409,3,0.365325077,99.75609756,0.243902439,0,0,2.14
410,0,0.364760433,99.756691,0.243309002,0,0,2.16
411,0,0.364197531,99.75728155,0.242718447,0,0,2.17
412,5,0.368501529,99.75786925,0.242130751,0,0,2.14
413,6,0.373676248,99.75845411,0.241545894,0,0,2.16
414,5,0.377811094,99.75903614,0.240963855,0,0,2.2
415,0,0.377245509,99.75961538,0.240384615,0,0,2.24
416,3,0.379464286,99.76019185,0.239808153,0,0,2.25
417,0,0.378900446,99.76076555,0.23923445,0,0,2.25
418,0,0.378338279,99.76133652,0.238663484,0,0,2.35
419,1,0.378698225,99.76190476,0.238095238,0,0,2.37
420,10,0.387190684,99.52494062,0.475059382,0,0,2.35
421,0,0.386627907,99.52606635,0.473933649,0,0,2.38
422,3,0.388728324,99.52718676,0.472813239,0,0,2.36
423,2,0.389928058,99.52830189,0.471698113,0,0,2.32
424,0,0.389367816,99.52941176,0.470588235,0,0,2.3
425,0,0.388809182,99.53051643,0.469483568,0,0,2.29
426,0,0.388252149,99.53161593,0.468384075,0,0,2.34
427,8,0.394625177,99.53271028,0.46728972,0,0,2.34
428,4,0.39747191,99.53379953,0.466200466,0,0,2.35
429,0,0.396914446,99.53488372,0.465116279,0,0,2.37
430,4,0.399721448,99.53596288,0.464037123,0,0,2.39
431,4,0.402489627,99.53703704,0.462962963,0,0,2.39
432,0,0.401933702,99.53810624,0.461893764,0,0,2.44
433,0,0.40137931,99.53917051,0.460829493,0,0,2.41
434,5,0.404924761,99.54022989,0.459770115,0,0,2.41
435,4,0.407608696,99.5412844,0.458715596,0,0,2.41
436,1,0.407859079,99.5423341,0.457665904,0,0,2.28
437,9,0.414438503,99.543379,0.456621005,0,0,2.38
438,0,0.41388518,99.54441913,0.455580866,0,0,2.44
439,0,0.413333333,99.54545455,0.454545455,0,0,2.43
440,3,0.415119363,99.54648526,0.453514739,0,0,2.39
441,0,0.414569536,99.54751131,0.452488688,0,0,2.37
442,0,0.414021164,99.54853273,0.451467269,0,0,2.41
443,2,0.415019763,99.54954955,0.45045045,0,0,2.57
444,1,0.415243101,99.5505618,0.449438202,0,0,2.57
445,0,0.414698163,99.55156951,0.448430493,0,0,2.57
446,4,0.417209909,99.55257271,0.447427293,0,0,2.59
447,8,0.422680412,99.55357143,0.446428571,0,0,2.59
448,1,0.422879177,99.5545657,0.445434298,0,0,2.53
449,2,0.423815621,99.55555556,0.444444444,0,0,2.67
450,0,0.423273657,99.55654102,0.44345898,0,0,2.73
451,14,0.432873275,99.33628319,0.663716814,0,0,2.69
452,4,0.435162095,99.33774834,0.662251656,0,0,2.83
453,0,0.434620174,99.33920705,0.660792952,0,0,2.83
454,0,0.434079602,99.34065934,0.659340659,0,0,2.8
455,0,0.433540373,99.34210526,0.657894737,0,0,2.8
456,0,0.433002481,99.34354486,0.656455142,0,0,2.89
457,4,0.435265105,99.34497817,0.655021834,0,0,2.92
458,0,0.434729064,99.34640523,0.653594771,0,0,3.15
459,0,0.434194342,99.34782609,0.652173913,0,0,3.12
460,4,0.436430318,99.34924078,0.650759219,0,0,3.33
461,3,0.437956204,99.35064935,0.649350649,0,0,3.33
462,0,0.437424058,99.35205184,0.647948164,0,0,3.28
463,4,0.439613527,99.35344828,0.646551724,0,0,3.22
464,4,0.441776711,99.35483871,0.64516129,0,0,3.21
465,8,0.446555819,99.35622318,0.643776824,0,0,3.21
466,4,0.448642267,99.35760171,0.642398287,0,0,3.3
467,0,0.448113208,99.35897436,0.641025641,0,0,3.42
468,11,0.454651163,99.14712154,0.852878465,0,0,3.49
469,2,0.455388181,99.14893617,0.85106383,0,0,3.5
470,0,0.454861111,99.1507431,0.8492569,0,0,3.4
471,3,0.456221198,99.15254237,0.847457627,0,0,3.46
472,2,0.456946039,99.15433404,0.845665962,0,0,3.47
473,0,0.456422018,99.15611814,0.843881857,0,0,3.53
474,0,0.455899198,99.15789474,0.842105263,0,0,3.53
475,0,0.455377574,99.15966387,0.840336134,0,0,3.54
476,5,0.457954545,99.16142558,0.838574423,0,0,3.66
477,1,0.458049887,99.16317992,0.836820084,0,0,3.64
478,2,0.458757062,99.16492693,0.835073069,0,0,3.66
479,5,0.461279461,99.16666667,0.833333333,0,0,3.7
480,2,0.46196868,99.16839917,0.831600832,0,0,3.69
481,4,0.463848721,99.17012448,0.829875519,0,0,3.67
482,5,0.466298343,99.17184265,0.82815735,0,0,3.69
483,0,0.465783664,99.17355372,0.826446281,0,0,3.71
484,0,0.465270121,99.17525773,0.824742268,0,0,3.68
485,0,0.464757709,99.17695473,0.823045267,0,0,3.65
486,0,0.464246425,99.17864476,0.821355236,0,0,3.64
487,10,0.469565217,98.97540984,1.024590164,0,0,3.61
488,8,0.473627557,98.97750511,1.022494888,0,0,3.61
489,0,0.47311828,98.97959184,1.020408163,0,0,3.62
490,0,0.472610097,98.98167006,1.018329939,0,0,3.59
491,0,0.472103004,98.98373984,1.016260163,0,0,3.59
492,10,0.477200424,98.78296146,1.21703854,0,0,3.63
493,17,0.485952133,98.58299595,1.417004049,0,0,3.63
494,0,0.485446985,98.58585859,1.414141414,0,0,3.62
495,0,0.484942887,98.58870968,1.411290323,0,0,3.63
496,4,0.486570248,98.5915493,1.408450704,0,0,3.59
497,0,0.486068111,98.59437751,1.40562249,0,0,3.51
498,0,0.48556701,98.59719439,1.402805611,0,0,3.5
499,18,0.494438827,98.4,1.6,0,0,3.5
500,6,0.496987952,98.40319361,1.596806387,0,0,3.53
501,0,0.496489468,98.4063745,1.593625498,0,0,3.48
502,15,0.503455084,98.21073559,1.789264414,0,0,3.55
503,0,0.50295858,98.21428571,1.785714286,0,0,3.67
504,0,0.502463054,98.21782178,1.782178218,0,0,3.71
505,0,0.501968504,98.22134387,1.778656126,0,0,3.71
506,12,0.50728863,98.02761341,1.972386588,0,0,3.78
507,3,0.508228461,98.03149606,1.968503937,0,0,3.84
508,23,0.518448439,97.8388998,2.161100196,0,0,3.84
509,0,0.517958412,97.84313725,2.156862745,0,0,3.84
510,21,0.526851852,97.65166341,2.348336595,0,0,3.83
511,0,0.526364477,97.65625,2.34375,0,0,3.92
512,0,0.525878004,97.66081871,2.339181287,0,0,3.92
513,0,0.525392428,97.66536965,2.33463035,0,0,3.94
514,4,0.526654412,97.66990291,2.330097087,0,0,3.92
515,0,0.526170799,97.6744186,2.325581395,0,0,3.84
516,12,0.530852995,97.48549323,2.51450677,0,0,3.81
517,12,0.535426009,97.2972973,2.702702703,0,0,3.9
518,7,0.537845058,97.30250482,2.697495183,0,0,3.81
519,2,0.538188277,97.30769231,2.692307692,0,0,3.79
520,0,0.537710736,97.31285988,2.687140115,0,0,3.87
521,6,0.53968254,97.31800766,2.681992337,0,0,3.84
522,4,0.540825285,97.32313576,2.676864245,0,0,3.82
523,8,0.543554007,97.32824427,2.671755725,0,0,3.82
524,0,0.54308094,97.33333333,2.666666667,0,0,3.86
525,1,0.543006082,97.33840304,2.661596958,0,0,3.89
526,12,0.547250859,97.15370019,2.84629981,0,0,3.84
527,6,0.54910333,97.15909091,2.840909091,0,0,3.9
528,6,0.550933786,97.16446125,2.835538752,0,0,3.91
529,4,0.551986475,97.16981132,2.830188679,0,0,4.07
530,3,0.552653749,97.17514124,2.824858757,0,0,4.18
531,2,0.552941176,97.18045113,2.819548872,0,0,4.14
532,2,0.553227158,97.18574109,2.814258912,0,0,4.24
533,2,0.553511706,97.19101124,2.808988764,0,0,4.27
534,2,0.553794829,97.19626168,2.803738318,0,0,4.34
535,1,0.553705246,97.20149254,2.798507463,0,0,4.37
536,0,0.553244592,97.20670391,2.793296089,0,0,4.4
537,6,0.555004136,97.21189591,2.788104089,0,0,4.34
538,0,0.554545455,97.21706865,2.782931354,0,0,4.32
539,1,0.554455446,97.22222222,2.777777778,0,0,4.57
540,0,0.553998351,97.22735675,2.772643253,0,0,4.57
541,0,0.55354201,97.23247232,2.767527675,0,0,4.64
542,4,0.554552912,97.23756906,2.762430939,0,0,4.58
543,2,0.554828151,97.24264706,2.757352941,0,0,4.54
544,0,0.554374489,97.24770642,2.752293578,0,0,4.54
545,1,0.554285714,97.25274725,2.747252747,0,0,4.54
546,0,0.553833605,97.25776965,2.742230347,0,0,4.5
547,0,0.553382233,97.26277372,2.737226277,0,0,4.61
548,0,0.552931596,97.26775956,2.732240437,0,0,4.63
549,2,0.553208773,97.27272727,2.727272727,0,0,4.48
550,3,0.553846154,97.27767695,2.722323049,0,0,4.53
551,9,0.556626506,97.2826087,2.717391304,0,0,4.53
552,11,0.560063644,97.10669078,2.893309222,0,0,4.46
553,12,0.563779528,96.93140794,3.068592058,0,0,4.46
554,4,0.564705882,96.93693694,3.063063063,0,0,4.49
555,0,0.564263323,96.94244604,3.057553957,0,0,4.49
556,7,0.566199377,96.94793537,3.052064632,0,0,4.37
557,10,0.569111969,96.77419355,3.225806452,0,0,4.34
558,0,0.56867284,96.77996422,3.220035778,0,0,4.24
559,0,0.568234387,96.78571429,3.214285714,0,0,4.42
560,3,0.568793236,96.79144385,3.20855615,0,0,4.23
561,12,0.572298326,96.61921708,3.380782918,0,0,4.23
562,0,0.571863118,96.62522202,3.374777975,0,0,4.25
563,6,0.573373676,96.63120567,3.368794326,0,0,4.42
564,2,0.573584906,96.63716814,3.362831858,0,0,4.51
565,0,0.573152338,96.64310954,3.356890459,0,0,4.62
566,1,0.573042169,96.64902998,3.350970018,0,0,4.61
567,9,0.5754858,96.65492958,3.345070423,0,0,4.49
568,2,0.575689784,96.66080844,3.339191564,0,0,4.58
569,0,0.575260805,96.66666667,3.333333333,0,0,4.56
570,8,0.577350111,96.67250438,3.327495622,0,0,4.63
571,0,0.576923077,96.67832168,3.321678322,0,0,4.61
572,0,0.576496674,96.68411867,3.315881326,0,0,4.63
573,0,0.576070901,96.68989547,3.31010453,0,0,4.57
574,4,0.576894776,96.69565217,3.304347826,0,0,4.6
575,3,0.577402788,96.70138889,3.298611111,0,0,4.68
